ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
BANF,BancFirst Corporation,Financial,Regional - Southwest Banks,USA,949910000.0,13.92,4.8,1.49,20.97,2.23,4.12,60.97,0.0,-6264000,56.4353813559322,25.635593220338983,62.04978813559322,31.35593220338983,0.6594308934530639,2.889430893453064,69.4385593220339,90.577853686308,335.49310792359614,64.45974576271186
BANR,Banner Corporation,Financial,Regional - Mid-Atlantic Banks,USA,956610000.0,17.42,4.73,1.43,13.55,1.58,2.71,45.64,0.0,-101000,45.04766949152542,26.27118644067797,64.08898305084746,42.53177966101695,0.010558116682869717,1.5905581166828697,59.77224576271186,90.5493879874751,328.26125239425477,61.255296610169495
BAP,Credicorp Ltd.,Financial,Money Center Banks,Peru,8830000000.0,10.65,3.07,1.92,0.0,1.99,-24.62,110.24,0.0,0,64.32733050847457,38.85063559322034,51.006355932203384,90.96927966101694,-0.0,1.99,63.029661016949156,90.5209222886422,398.70418500050664,88.63877118644068
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,20880000000.0,12.15,1.28,2.61,0.0,1.2,4.27,38.28,0.0,-139000000,60.99046610169492,65.43961864406779,38.40042372881356,90.9427966101695,0.6657088122605364,1.8657088122605363,61.75847457627118,90.49245658980928,408.0242362508262,91.02224576271186
BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores,USA,10490000000.0,12.06,0.88,4.09,12.8,0.0,-19.21,61.87,0.0,2324035000,61.14936440677966,76.50953389830508,22.484110169491526,43.43220338983051,-22.154766444232603,-22.154766444232603,0.3442796610169491,90.46399089097638,294.38348241640006,46.55720338983051
BBCN,"BBCN Bancorp, Inc.",Financial,Money Center Banks,USA,1180000000.0,13.34,3.87,1.3,20.14,2.97,9.32,14.81,0.0,1163000,58.07733050847458,32.07097457627119,67.95550847457628,32.17690677966102,-0.0985593220338983,2.8714406779661017,69.20021186440678,90.43552519214346,349.9164573955333,69.75635593220339
BBD,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,34540000000.0,5.97,1.18,1.33,0.0,1.21,-48.38,6.63,0.0,0,70.36546610169492,67.90254237288136,66.97563559322035,90.86334745762711,-0.0,1.21,56.38241525423729,90.40705949331056,442.89646627297157,96.26588983050848
BBDO,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,36390000000.0,7.54,2.26,1.45,0.0,0.83,-44.1,7.23,0.0,69.14724576271186,47.80190677966102,63.47987288135594,90.83686440677965,0.83,51.853813559322035,90.37859379447765,413.4982971843081,92.10805084745762
BBEP,Breitburn Energy Partners LP,Basic Materials,Oil & Gas Drilling & Exploration,USA,476390000.0,22.5,0.31,0.15,0.0,22.22,-68.16,2.25,0.0,-599978000,31.35593220338983,93.29978813559322,92.05508474576271,90.81038135593221,125.94261004639056,148.16261004639057,99.89406779661016,90.35012809564475,497.76538233293286,99.4968220338983
BBG,Bill Barrett Corp.,Basic Materials,Oil & Gas Drilling & Exploration,USA,224820000.0,0.0,0.72,0.22,0.0,0.0,-61.64,4.5,0.0,0,90.78389830508475,81.30296610169492,91.8697033898305,90.78389830508475,-0.0,0.0,33.55402542372881,90.32166239681185,478.61615392223564,98.9406779661017
BBL,BHP Billiton plc,Basic Materials,Industrial Metals & Minerals,United Kingdom,92070000000.0,8.83,1.46,1.1,10.97,7.51,-29.17,33.02,0.0,0,67.45233050847457,61.52012711864406,74.39088983050848,46.31885593220339,-0.0,7.51,83.47457627118644,90.29319669797894,423.4499763589959,93.80296610169492
BBOX,Black Box Corporation,Technology,Networking & Communication Devices,USA,237470000.0,19.54,0.24,0.7,7.79,2.85,-28.5,15.44,0.0,6936000,38.45338983050847,95.36546610169492,87.04978813559322,50.715042372881356,-2.9207899945256246,-0.07078999452562451,23.781779661016948,90.26473099914602,385.630197100841,85.14300847457628
BBRY,BlackBerry Limited,Technology,Diversified Communication Services,Canada,3740000000.0,0.0,1.24,1.08,13.22,0.0,-29.28,7.15,0.0,0,90.70444915254238,66.47245762711864,75.39724576271186,42.95550847457627,-0.0,0.0,33.501059322033896,90.23626530031312,399.26698563929614,88.79766949152543
BBSI,Barrett Business Services Inc.,Services,Staffing & Outsourcing Services,USA,251060000.0,0.0,0.36,6.18,3.94,2.52,-8.09,34.87,0.0,2246000,90.67796610169492,91.92266949152543,12.632415254237289,53.76059322033898,-0.8946068668844102,1.62539313311559,60.01059322033898,90.20779960148022,399.2120368896158,88.77118644067797
BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,27580000000.0,13.72,4.57,1.21,16.09,2.87,0.39,37.6,0.0,0,57.04449152542372,27.4364406779661,71.15995762711864,38.69173728813559,-0.0,2.87,69.14724576271186,90.1793339026473,353.65920678400323,71.05402542372882
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Foreign Regional Banks,Spain,59100000000.0,15.31,3.49,1.1,0.0,3.75,-4.51,9.34,0.0,0,52.251059322033896,34.98411016949153,74.54978813559322,90.625,-0.0,3.75,73.88771186440678,90.15086820381441,416.44853769533984,92.6906779661017
BBW,Build-A-Bear Workshop Inc.,Services,Toy & Hobby Stores,USA,332530000.0,17.37,0.85,3.47,24.1,0.0,-3.59,19.63,0.0,4058000,45.20656779661017,77.27754237288136,28.177966101694917,27.2510593220339,-1.2203410218626891,-1.2203410218626891,16.790254237288135,90.12240250498151,284.82579233549,42.42584745762712
BBX,BBX Capital Corporation,Financial,Property Management,USA,255490000.0,263.33,2.78,0.8,0.0,0.0,10.96,15.8,0.0,1755000,1.3241525423728813,42.05508474576271,84.58686440677965,90.57203389830508,-0.6869153391522174,-0.6869153391522174,19.279661016949152,90.09393680614859,327.91173341631804,60.96398305084746
BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,10650000000.0,13.3,0.26,2.19,18.05,3.05,-20.66,30.18,0.0,-66000000,58.23622881355932,94.8093220338983,45.94809322033898,35.61970338983051,0.6197183098591549,3.669718309859155,73.54343220338984,90.06547110731569,398.22225076833263,88.45338983050848
BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,4610000000.0,21.35,1.15,3.71,61.77,1.0,-8.55,50.18,0.0,80300000,33.871822033898304,68.72351694915254,25.95338983050847,9.295550847457628,-1.7418655097613884,-0.7418655097613884,18.98834745762712,90.03700540848277,246.86963252712684,26.66843220338983
BCA,CorpBanca,Financial,Foreign Regional Banks,Chile,3070000000.0,9.09,1.68,1.47,0.0,12.41,-26.57,13.46,0.0,0,67.13453389830508,56.938559322033896,62.6853813559322,90.49258474576271,-0.0,12.41,89.51271186440678,90.00853970964987,456.7723108960905,97.80190677966102
BCC,Boise Cascade Company,Industrial Goods,"Lumber, Wood Production",USA,1240000000.0,16.48,0.34,2.36,57.69,0.0,-10.29,31.65,0.0,0,48.2521186440678,92.45233050847457,42.55826271186441,10.16949152542373,-0.0,0.0,33.42161016949153,89.98007401081696,316.833887570139,56.0646186440678
BCE,BCE Inc.,Technology,Telecom Services - Domestic,Canada,35440000000.0,18.6,2.19,3.8,97.46,4.8,-4.32,41.48,0.0,0,40.99576271186441,48.940677966101696,25.0,5.402542372881356,-0.0,4.8,77.59533898305084,89.95160831198406,287.88593034588234,43.48516949152542
BCEI,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,295020000.0,0.0,0.67,0.33,0.0,0.0,-79.15,5.93,0.0,-202693000,90.41313559322035,82.91843220338984,91.1281779661017,90.41313559322035,68.70483357060539,68.70483357060539,99.52330508474576,89.92314261315116,544.3193290538292,99.92055084745762
BCH,Banco de Chile,Financial,Foreign Regional Banks,Chile,9670000000.0,11.67,3.6,2.52,0.0,5.34,-9.32,59.96,0.0,0,62.02330508474576,34.16313559322034,39.83050847457627,90.38665254237289,-0.0,5.34,79.02542372881356,89.89467691431825,395.3237023380471,87.39406779661016
BCO,The Brink's Company,Services,Security & Protection Services,USA,1400000000.0,0.0,0.44,3.6,825.85,1.39,5.96,28.74,0.0,-3800000,90.36016949152543,89.7510593220339,26.80084745762712,0.4502118644067797,0.2714285714285714,1.6614285714285713,60.248940677966104,89.86621121548534,357.47744002904466,72.51059322033898
BCOM,B Communications Ltd,Technology,Diversified Communication Services,Israel,596010000.0,10.17,0.26,2.26,0.0,2.91,28.45,19.94,0.0,0,65.09533898305084,94.83580508474576,44.51800847457627,90.33368644067797,-0.0,2.91,69.54449152542372,89.83774551665243,454.165076025127,97.59004237288136
BCOR,"Blucora, Inc.",Technology,Internet Information Providers,USA,548860000.0,0.0,1.06,1.01,10.98,0.0,-1.9,13.4,0.0,9990000,90.3072033898305,71.29237288135593,77.56885593220339,46.29237288135593,-1.8201362824764058,-1.8201362824764058,14.380296610169491,89.80927981781953,389.6503815127347,86.04343220338984
BCPC,Balchem Corp.,Basic Materials,Chemicals - Major Diversified,USA,1820000000.0,28.18,3.02,4.1,25.07,0.52,-2.73,57.76,0.0,-15323000,22.85487288135593,39.45974576271186,22.43114406779661,26.35063559322034,0.8419230769230769,1.3619230769230768,57.733050847457626,89.78081411898661,258.610263271529,30.87923728813559
BCR,CR Bard Inc.,Healthcare,Medical Instruments & Supplies,USA,14210000000.0,42.65,4.21,8.57,21.07,0.5,9.06,191.5,0.0,307400000,12.817796610169491,29.89936440677966,7.8125,31.22351694915254,-2.1632653061224487,-1.6632653061224487,14.989406779661016,89.75234842015371,186.4949331659164,10.090042372881355
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,878150000.0,0.0,21.21,11.42,0.0,0.0,14.08,11.99,0.0,-5779000,90.22775423728814,7.838983050847458,5.217161016949152,90.22775423728814,0.6580880259636737,0.6580880259636737,49.97351694915254,89.72388272132082,333.20905221284625,63.532838983050844
BCS,Barclays PLC,Financial,Foreign Money Center Banks,United Kingdom,67590000000.0,158.8,7.03,0.72,41.15,1.57,0.07,15.88,0.0,0,2.409957627118644,16.551906779661017,86.67902542372882,15.148305084745765,-0.0,1.57,59.454449152542374,89.6954170224879,269.93906109028455,35.35487288135593
BDBD,"Boulder Brands, Inc.",Consumer Goods,Processed & Packaged Goods,USA,517770000.0,0.0,1.02,2.14,26.55,0.0,-23.71,8.43,0.0,-2105000,90.17478813559322,72.35169491525424,46.795550847457626,24.814618644067796,0.406551171369527,0.406551171369527,46.39830508474576,89.666951323655,370.2019089507736,77.19809322033898
BDC,Belden Inc.,Industrial Goods,Industrial Electrical Equipment,USA,2260000000.0,45.26,0.96,2.75,17.63,0.38,-41.17,52.96,0.0,76406000,11.679025423728813,74.02012711864407,35.9375,36.54661016949153,-3.3807964601769913,-3.0007964601769914,10.805084745762713,89.63848562482208,258.6268330824492,30.905720338983052
BDE,"Black Diamond, Inc.",Consumer Goods,Sporting Goods,USA,245700000.0,0.0,1.23,0.99,0.0,0.0,14.16,7.5,0.0,-823000,90.1218220338983,66.73728813559322,78.54872881355932,90.1218220338983,0.33496133496133496,0.33496133496133496,44.99470338983051,89.61001992598918,460.13438433276883,98.14618644067797
BDGE,"Bridge Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,476210000.0,22.46,5.83,1.0,164.21,3.36,8.64,27.4,0.0,-685000,31.4353813559322,20.55084745762712,77.99258474576271,3.1779661016949152,0.14384410239180195,3.5038441023918017,72.85487288135593,89.58155422715627,295.59320676952916,47.0603813559322
BDN,Brandywine Realty Trust,Financial,REIT - Diversified,USA,2410000000.0,223.67,4.09,1.15,0.0,4.47,-15.73,13.42,0.0,-337602000,1.5889830508474576,30.534957627118644,72.48411016949152,90.06885593220339,14.00838174273859,18.47838174273859,93.59110169491525,89.55308852832337,377.82109700289965,82.62711864406779
BDSI,"BioDelivery Sciences International, Inc.",Healthcare,Biotechnology,USA,341970000.0,0.0,17.81,9.73,0.0,0.0,-55.43,6.52,0.0,-5798000,90.04237288135593,8.36864406779661,6.6207627118644075,90.04237288135593,1.6954703628973302,1.6954703628973302,60.54025423728814,89.52462282949047,345.13902960915146,68.00847457627118
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,29840000000.0,34.7,3.17,4.11,67.66,1.69,-2.57,141.92,0.0,32000000,17.028601694915256,38.003177966101696,22.298728813559322,8.448093220338983,-0.10723860589812334,1.5827613941018766,59.692796610169495,89.49615713065756,234.96755543574233,22.801906779661017
BEAT,"BioTelemetry, Inc.",Healthcare,Medical Laboratories & Research,USA,371270000.0,1369.0,2.12,5.5,0.0,0.0,43.35,13.69,0.0,342000,0.1853813559322034,50.02648305084746,15.227754237288135,89.98940677966102,-0.09211624962964958,-0.09211624962964958,23.54343220338983,89.46769143182465,268.44014905894335,34.93114406779661
BEAV,B/E Aerospace Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,5160000000.0,57.82,1.92,41.51,55.9,1.56,-23.07,48.57,0.0,-6300000,8.36864406779661,52.833686440677965,1.1652542372881356,10.646186440677965,0.12209302325581395,1.682093023255814,60.434322033898304,89.43922573299174,222.88731895333075,19.253177966101696
BECN,"Beacon Roofing Supply, Inc.",Industrial Goods,General Building Materials,USA,1760000000.0,31.96,0.72,2.07,19.89,0.0,22.77,35.48,0.0,-5897000,19.226694915254235,81.17055084745762,47.82838983050847,32.54766949152542,0.3350568181818182,0.3350568181818182,45.021186440677965,89.41076003415884,315.20525155958256,55.376059322033896
BEE,"Strategic Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,3880000000.0,88.06,2.98,2.47,0.0,0.0,6.99,14.09,0.0,-68364000,4.978813559322034,39.936440677966104,40.51906779661017,89.90995762711864,1.7619587628865978,1.7619587628865978,60.9375,89.38229433532592,325.6640739963429,59.79872881355932
BEL,Belmond Ltd.,Services,Lodging,Bermuda,1360000000.0,56.3,2.4,1.64,88.41,0.0,-1.57,11.26,0.0,16470000,8.686440677966102,45.84216101694915,57.94491525423729,6.0116525423728815,-1.211029411764706,-1.211029411764706,16.843220338983052,89.35382863649302,224.68221846700152,19.835805084745765
BELFA,Bel Fuse Inc.,Technology,Scientific & Technical Instruments,USA,207750000.0,12.03,0.35,0.8,11.41,1.56,-21.73,15.4,0.0,0,61.228813559322035,92.24046610169492,84.82521186440678,45.603813559322035,-0.0,1.56,59.42796610169492,89.32536293766013,432.6516341241009,95.15360169491525
BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,25150000000.0,10.99,3.06,2.08,13.71,1.46,-23.58,40.98,0.0,629100000,63.58580508474576,38.93008474576271,47.77542372881356,42.266949152542374,-2.5013916500994036,-1.0413916500994036,17.690677966101696,89.29689723882721,299.5458379167933,49.09957627118644
BEP,Brookfield Renewable Energy Partners LP,Utilities,Diversified Utilities,Bermuda,7670000000.0,351.25,4.54,2.65,0.0,5.91,-10.48,28.1,0.0,-210000000,1.1122881355932204,27.72775423728814,37.63241525423729,89.80402542372882,2.737940026075619,8.64794002607562,85.2489406779661,89.26843153999431,330.7938552688079,62.3146186440678
BETR,"Amplify Snack Brands, Inc.",Consumer Goods,Food - Major Diversified,USA,1020000000.0,35.68,6.74,8.02,13.71,0.0,0.0,13.56,0.0,16.39300847457627,17.240466101694913,8.92478813559322,42.24046610169492,0.0,33.103813559322035,89.23996584116139,207.14250821404275,14.804025423728815
BERY,"Berry Plastics Group, Inc.",Consumer Goods,Packaging & Containers,USA,3700000000.0,57.2,0.74,0.0,9.61,0.0,-12.32,30.89,0.0,-20000000,8.448093220338983,80.69385593220339,97.9343220338983,48.4375,0.5405405405405406,0.5405405405405406,48.358050847457626,89.21150014232849,373.0833221762268,79.95233050847457
BF-A,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,9560000000.0,35.21,3.05,12.38,0.0,1.24,21.65,113.04,0.0,16.684322033898304,38.983050847457626,4.661016949152542,89.72457627118644,1.24,56.541313559322035,89.18303444349559,295.77731410451247,47.27224576271186
BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,22080000000.0,31.75,7.04,11.26,97.26,1.37,11.56,102.24,0.0,19.4385593220339,16.4989406779661,5.349576271186441,5.455508474576272,1.37,57.86546610169492,89.15456874466268,193.7626195921203,11.890889830508474
BFAM,"Bright Horizons Family Solutions, Inc.",Services,Personal Services,USA,3730000000.0,47.63,2.68,5.08,34.62,0.0,21.3,61.44,0.0,274684000,10.83156779661017,43.11440677966102,16.922669491525426,18.697033898305087,-7.364182305630027,-7.364182305630027,3.4163135593220337,89.12610304582978,182.1080945712535,9.216101694915254
BFIN,BankFinancial Corp.,Financial,Savings & Loans,USA,246210000.0,5.72,5.0,1.14,17.59,1.33,1.67,12.01,0.0,7388000,70.55084745762711,24.629237288135595,72.88135593220339,36.626059322033896,-3.0006904674871047,-1.6706904674871046,14.96292372881356,89.09763734699688,308.7480610758104,52.9396186440678
BFR,BBVA Banco Frances S.A.,Financial,Foreign Regional Banks,Argentina,4170000000.0,8.58,2.78,2.27,8.29,0.13,-9.93,15.79,0.0,0,67.95550847457628,42.0021186440678,44.253177966101696,50.21186440677966,-0.0,0.13,40.916313559322035,89.06917164816396,334.4081546990114,64.14194915254238
BFS,Saul Centers Inc.,Financial,REIT - Retail,USA,1090000000.0,40.87,5.31,9.23,77.42,3.34,-3.83,51.49,0.0,-17329000,13.691737288135593,22.85487288135593,7.2298728813559325,7.070974576271187,1.589816513761468,4.929816513761468,77.93961864406779,89.04070594933106,217.8277822205175,17.74364406779661
BG,Bunge Limited,Consumer Goods,Farm Products,USA,10210000000.0,21.57,0.21,1.52,10.39,2.14,-13.58,70.96,0.0,208000000,33.501059322033896,96.02754237288136,61.016949152542374,47.166313559322035,-2.037218413320274,0.10278158667972592,40.36016949152542,89.01224025049815,367.0842741488033,76.03283898305084
BGC,General Cable Corporation,Industrial Goods,Industrial Equipment & Components,USA,682430000.0,0.0,0.13,1.99,2.63,5.16,-0.59,13.95,0.0,0,89.53919491525424,97.16631355932203,49.62923728813559,54.6875,-0.0,5.16,78.65466101694916,88.98377455166523,458.66068133132626,97.96080508474576
BGCP,"BGC Partners, Inc.",Financial,Investment Brokerage - National,USA,2200000000.0,176.0,1.03,3.95,104.4,6.36,-1.23,8.8,0.0,135025000,2.1716101694915255,71.90148305084746,23.54343220338983,4.846398305084746,-6.1375,0.22250000000000014,42.82309322033898,88.95530885283233,234.24132580198489,22.590042372881356
BGFV,Big 5 Sporting Goods Corp.,Services,Sporting Goods Stores,USA,240980000.0,15.74,0.24,1.22,63.42,3.68,-10.27,10.86,0.0,2403000,51.11228813559322,95.49788135593221,70.6832627118644,9.03072033898305,-0.9971781890613328,2.6828218109386675,67.84957627118644,88.92684315399944,383.10057196755884,84.21610169491525
BGG,Briggs & Stratton Corporation,Industrial Goods,Diversified Machinery,USA,869700000.0,19.12,0.46,1.49,16.23,2.77,-3.49,19.5,0.0,47579000,39.53919491525424,89.11546610169492,62.208686440677965,38.47987288135593,-5.470737035759457,-2.7007370357594573,11.520127118644067,88.89837745516652,329.7617249127936,61.70550847457628
BGS,B&G Foods Inc.,Consumer Goods,Processed & Packaged Goods,USA,1720000000.0,35.67,2.0,3.6,55.92,4.73,5.99,29.61,0.0,0,16.41949152542373,51.50953389830508,26.88029661016949,10.619703389830509,-0.0,4.73,77.30402542372882,88.86991175633362,271.60296260379124,36.36122881355932
BH,Biglari Holdings Inc.,Services,Restaurants,USA,813510000.0,6.69,0.96,1.0,61.17,0.0,-6.87,393.0,0.0,-85897000,69.75635593220339,73.78177966101694,78.125,9.427966101694915,10.558813044707502,10.558813044707502,87.5,88.84144605750072,407.4325477524159,90.91631355932203
BHBK,"Blue Hills Bancorp, Inc.",Financial,Money Center Banks,USA,400010000.0,117.17,7.49,0.89,13.16,0.57,9.31,14.06,0.0,51312000,3.469279661016949,15.439618644067796,81.6207627118644,43.034957627118644,-12.8276793080173,-12.2576793080173,1.4830508474576272,88.8129803586678,233.86064985019323,22.32521186440678
BHE,Benchmark Electronics Inc.,Technology,Printed Circuit Boards,USA,1100000000.0,15.03,0.4,0.87,21.13,0.0,-7.65,21.49,0.0,56893000,53.25741525423729,90.83686440677965,82.25635593220339,31.091101694915253,-5.172090909090909,-5.172090909090909,6.170550847457627,88.7845146598349,352.3968027954281,70.60381355932203
BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,21580000000.0,82.53,1.01,1.23,16.64,1.37,-20.87,49.52,0.0,-16000000,5.296610169491525,72.69597457627118,70.28601694915254,37.95021186440678,0.07414272474513438,1.4441427247451344,58.368644067796616,88.756048961002,333.3535065881207,63.61228813559322
BHLB,Berkshire Hills Bancorp Inc.,Financial,Savings & Loans,USA,863070000.0,17.04,3.94,0.96,139.2,2.72,7.91,27.94,0.0,-332000,46.13347457627119,31.54131355932203,79.34322033898306,3.7076271186440675,0.03846733173439003,2.75846733173439,68.35275423728814,88.72758326216909,317.80597309267756,56.51483050847458
BHP,BHP Billiton Limited,Basic Materials,Industrial Metals & Minerals,Australia,92070000000.0,9.94,1.93,1.15,10.45,7.15,-28.13,34.68,0.0,0,65.49258474576271,52.72775423728814,72.69597457627118,47.08686440677966,-0.0,7.15,82.8125,88.69911756333619,409.5147955294379,91.26059322033898
BID,Sotheby's,Services,"Specialty Retail, Other",USA,2500000000.0,21.12,2.67,2.63,2079.21,1.11,-19.08,35.9,0.0,0,34.61334745762712,43.22033898305085,37.95021186440678,0.211864406779661,-0.0,1.11,55.50847457627118,88.67065186450327,260.1748891526389,31.48834745762712
BIDU,"Baidu, Inc.",Technology,Internet Information Providers,China,53750000000.0,29.41,6.04,5.71,40.71,0.0,-25.93,152.91,0.0,19000,21.477754237288135,19.51800847457627,14.51271186440678,15.307203389830509,-3.5348837209302326e-05,-3.5348837209302326e-05,24.841101694915256,88.64218616567037,184.29896582668732,9.666313559322035
BIG,Big Lots Inc.,Services,"Discount, Variety Stores",USA,2130000000.0,15.75,0.41,2.75,14.3,1.85,-13.9,41.11,0.0,150162000,51.059322033898304,90.3072033898305,36.016949152542374,41.313559322033896,-7.049859154929577,-5.199859154929577,6.091101694915254,88.61372046683746,313.40185606005775,54.66101694915254
BIIB,Biogen Inc.,Healthcare,Biotechnology,USA,69530000000.0,20.0,6.75,5.53,21.52,0.0,-27.64,295.64,535930000,37.47351694915254,17.1875,15.015889830508474,30.5614406779661,-0.7707895872285345,-0.7707895872285345,18.77648305084746,50,169.01483050847457,6.779661016949152
BIN,Progressive Waste Solutions Ltd.,Industrial Goods,Waste Management,Canada,2910000000.0,26.08,1.47,2.62,42.77,1.95,-4.25,26.6,0.0,0,25.423728813559322,61.17584745762712,38.13559322033898,14.51271186440678,-0.0,1.95,62.63241525423729,88.58525476800455,290.46555137817404,45.021186440677965
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Laboratories & Research,USA,4130000000.0,42.29,1.96,1.73,58.55,0.0,18.66,139.98,0.0,-13164000,12.976694915254235,52.22457627118644,55.64088983050848,9.957627118644067,0.3187409200968523,0.3187409200968523,44.65042372881356,88.55678906917164,264.0070009335784,33.103813559322035
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,6500000000.0,32.81,3.44,1.62,0.0,5.34,-10.32,39.7,0.0,0,18.29978813559322,35.32838983050847,58.39512711864406,89.08898305084746,-0.0,5.34,79.05190677966102,88.52832337033874,368.69251828559294,76.61546610169492
BITA,Bitauto Holdings Limited,Technology,Internet Information Providers,China,1580000000.0,15.97,3.59,1.43,0.0,0.0,-61.04,24.91,0.0,-97842000,50.13241525423729,34.32203389830508,64.03601694915254,89.0625,6.192531645569621,6.192531645569621,81.06461864406779,88.49985767150584,407.1174424172685,90.75741525423729
BITI,Biotie Therapies Corp.,Healthcare,Biotechnology,Finland,212470000.0,0.0,17.0,0.0,0.0,0.0,0.0,17.33,0.0,89.03601694915254,8.47457627118644,99.4968220338983,89.03601694915254,0.0,32.8125,88.47139197267293,407.3273241760628,90.88983050847457
BJRI,"BJ's Restaurants, Inc.",Services,Restaurants,USA,1140000000.0,32.87,1.3,3.48,40.59,0.0,-16.32,44.71,0.0,122730000,18.246822033898304,65.04237288135593,27.99258474576271,15.38665254237288,-10.76578947368421,-10.76578947368421,1.7743644067796611,88.44292627384003,216.8857228840095,17.39936440677966
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,45870000000.0,16.51,14.05,1.29,14.17,1.64,6.66,41.45,0.0,641000000,48.146186440677965,9.48093220338983,68.35275423728814,41.498940677966104,-1.397427512535426,0.24257248746457383,43.08792372881356,88.41446057500711,298.9811978631427,48.78177966101695
BKCC,BlackRock Capital Investment Corporation,Financial,Asset Management,USA,679500000.0,6.03,5.04,0.86,194.14,9.23,5.45,9.1,0.0,1028000,70.28601694915254,24.44385593220339,82.78601694915254,2.701271186440678,-0.15128771155261223,9.078712288447388,85.83156779661016,88.38599487617421,354.4347236897335,71.23940677966102
BKD,Brookdale Senior Living Inc.,Healthcare,Long-Term Care Facilities,USA,5300000000.0,0.0,1.1,1.97,0.0,0.0,-21.98,28.72,0.0,19000,88.93008474576271,69.96822033898306,50.13241525423729,88.93008474576271,-0.0003584905660377359,-0.0003584905660377359,24.76165254237288,88.35752917734129,411.0799868044599,91.6843220338983
BKE,"The Buckle, Inc.",Services,Apparel Stores,USA,2020000000.0,12.68,1.75,5.27,0.0,2.21,-15.99,41.6,0.0,0,59.71927966101694,55.29661016949152,16.154661016949152,88.90360169491525,-0.0,2.21,64.61864406779661,88.3290634785084,373.02186008867784,79.81991525423729
BKEP,"Blueknight Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,218130000.0,27.58,1.19,1.99,0.0,8.61,-7.41,6.62,0.0,-71332000,23.67584745762712,67.74364406779661,49.68220338983051,88.87711864406779,32.701599963324625,41.311599963324625,98.22563559322035,88.3005977796755,416.50504693221785,92.71716101694916
BKFS,"Black Knight Financial Services, Inc.",Technology,Business Software & Services,USA,2290000000.0,280.17,2.54,2.71,0.0,0.0,0.0,33.62,0.0,1.2976694915254237,44.597457627118644,36.784957627118644,88.85063559322035,0.0,32.75953389830508,88.27213208084258,292.56238631813073,45.78919491525424
BKH,Black Hills Corporation,Utilities,Electric Utilities,USA,1900000000.0,34.43,1.39,1.44,0.0,3.83,-13.36,42.35,0.0,-3260000,17.16101694915254,62.95021186440678,63.79766949152542,88.82415254237289,0.17157894736842105,4.001578947368421,75.26483050847457,88.24366638200968,396.24154773794186,87.65889830508475
BKMU,Bank Mutual Corporation,Financial,Savings & Loans,USA,330160000.0,21.79,4.21,1.19,23.92,2.78,1.53,7.19,0.0,5605000,32.9978813559322,29.97881355932203,71.45127118644068,27.595338983050848,-1.6976617397625393,1.0823382602374605,55.243644067796616,88.21520068317677,305.48214983571916,51.271186440677965
BKS,"Barnes & Noble, Inc.",Services,"Specialty Retail, Other",USA,1050000000.0,327.6,0.17,0.87,0.0,3.66,2.01,16.38,0.0,9325000,1.1652542372881356,96.74258474576271,82.52118644067797,88.77118644067797,-0.8880952380952382,2.771904761904762,68.4322033898305,88.18673498434386,425.8191502385812,94.14724576271186
BKT,"BlackRock Income Trust, Inc.",Financial,Closed-End Fund - Debt,USA,404800000.0,22.61,15.22,0.88,31.38,5.85,1.99,6.33,0.0,0,31.0646186440678,9.083686440677965,81.9385593220339,21.1864406779661,-0.0,5.85,80.27012711864407,88.15826928551095,311.70170148890077,54.157838983050844
BLBD,Blue Bird Corporation,Consumer Goods,Auto Manufacturers - Major,USA,239710000.0,0.0,0.69,0.0,0.0,0.0,0.0,11.53,0.0,-13530000,88.71822033898306,82.4417372881356,94.30614406779661,88.71822033898306,5.644320220266155,5.644320220266155,79.84639830508475,88.12980358667805,522.1605239256611,99.78813559322035
